trade_date,ts_code,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
2010-01-21,000001.SZ,22.68,2.1624,2.4464,1.24,114.7023,75.3711,3.6897,4.8529,4.7315,0.0,,310543.3762,292411.4263,258459.8097,7043123.7722,6631891.1485
2010-01-22,000001.SZ,23.08,3.0181,3.4146,1.66,116.7253,76.7004,3.7548,4.9385,4.8149,0.0,,310543.3762,292411.4263,258459.8097,7167341.1227,6748855.719
2010-01-25,000001.SZ,22.19,1.2177,1.3776,0.59,112.2242,73.7427,3.61,4.7481,4.6293,0.0,,310543.3762,292411.4263,258459.8097,6890957.5179,6488609.5496
2010-01-26,000001.SZ,22.05,1.181,1.3361,0.57,111.5161,73.2774,3.5872,4.7181,4.6001,0.0,,310543.3762,292411.4263,258459.8097,6847481.4452,6447671.9499
2010-01-27,000001.SZ,21.91,1.3715,1.5516,0.74,110.8081,72.8122,3.5645,4.6882,4.5708,0.0,,310543.3762,292411.4263,258459.8097,6804005.3725,6406734.3502
2010-01-28,000001.SZ,21.75,0.8965,1.0142,0.5,109.9989,72.2804,3.5384,4.6539,4.5375,0.0,,310543.3762,292411.4263,258459.8097,6754318.4324,6359948.522
2010-01-29,000001.SZ,21.7,0.8231,0.9312,0.54,109.746,72.1143,3.5303,4.6432,4.527,0.0,,310543.3762,292411.4263,258459.8097,6738791.2635,6345327.9507
2010-02-01,000001.SZ,21.24,0.9684,1.0956,0.88,107.4196,70.5856,3.4555,4.5448,4.4311,0.0,,310543.3762,292411.4263,258459.8097,6595941.3105,6210818.6946
2010-02-02,000001.SZ,21.37,0.9806,1.1094,0.94,108.0771,71.0176,3.4766,4.5726,4.4582,0.0,,310543.3762,292411.4263,258459.8097,6636311.9494,6248832.18
2010-02-03,000001.SZ,22.58,1.8775,2.1241,1.86,114.1966,75.0387,3.6735,4.8315,4.7106,0.0,,310543.3762,292411.4263,258459.8097,7012069.4346,6602650.0059
2010-02-04,000001.SZ,22.2,1.0374,1.1737,0.94,112.2748,73.7759,3.6116,4.7502,4.6313,0.0,,310543.3762,292411.4263,258459.8097,6894062.9516,6491533.6639
2010-02-05,000001.SZ,22.0,0.9445,1.0685,0.83,111.2633,73.1113,3.5791,4.7074,4.5896,0.0,,310543.3762,292411.4263,258459.8097,6831954.2764,6433051.3786
2010-02-08,000001.SZ,21.56,0.7059,0.7987,0.61,109.038,71.649,3.5075,4.6133,4.4978,0.0,,310543.3762,292411.4263,258459.8097,6695315.1909,6304390.351
2010-02-09,000001.SZ,22.0,0.8487,0.9602,0.77,111.2633,73.1113,3.5791,4.7074,4.5896,0.0,,310543.3762,292411.4263,258459.8097,6831954.2764,6433051.3786
2010-02-10,000001.SZ,22.28,0.8681,0.9821,0.8,112.6793,74.0418,3.6247,4.7673,4.648,0.0,,310543.3762,292411.4263,258459.8097,6918906.4217,6514926.578
2010-02-11,000001.SZ,22.11,0.4757,0.5382,0.54,111.8196,73.4768,3.597,4.731,4.6126,0.0,,310543.3762,292411.4263,258459.8097,6866114.0478,6465216.6355
